Mass	Q	chi1	chi2	theta1	theta2	phi2-phi	Mismatch	Error
37.5	2.4738148017364106	0.2	0.8	2.613037831276493	1.038402758557847	3.09284782789764	-2.8316278291045176	0.5614780197153763
37.5	1.8571428571428572	0.2	0.5	2.0918354865485282	1.7428077465660858	3.1415927909397827	-3.006489306537946	0.4857198811834524
37.5	1.	0.8	0.8	1.3418818922066498	2.0694181772476794	3.141579959338126	-2.3548351335359285	1.2701930701771622
37.5	1.	0.2	0.2	2.583618960394038	1.6648399176307518	2.8917268395297366	-2.97400155949302	0.9838068733533649
37.5	1.	0.8	0.8	2.3174633218168417	1.0889634546792402	3.1415176568806245	-2.401509988782203	1.2543782868174778
37.5	1.	0.2	0.2	1.5745730072782427	2.4427006450094155	2.3606608113773726	-2.9611574314926057	0.46633027194931503
37.5	1.	0.2	0.2	1.3029150058677719	2.7571873297188096	2.226802322951408	-3.186344449284882	0.6891741466257886
37.5	1.8571428571428572	0.2	0.5	2.3379614054308013	1.031550206442213	2.3709567834536682	-3.12582175732916	0.5136927003619238
37.5	1.	0.2	0.2	1.023284873818668	2.784518869646149	1.5668319381473155	-3.216703507784336	0.7624760592022304
37.5	1.8571428571428572	0.2	0.8	0.7763195896854678	2.432388187106935	2.3380524593255294	-2.937631551718487	0.6740461515190272
37.5	1.8571428571428572	0.2	0.8	2.882905881097226	0.705789252608118	2.4130641409017985	-2.9987691550476545	0.4018427703694894
37.5	1.8571428571428572	0.2	0.5	1.5707963267948966	1.5707963267948966	3.767033284510273	-2.897288090574933	0.4093044915039342
37.5	1.8571428571428572	0.2	0.8	0.2653896222071728	2.4334983227462716	2.406834211004793	-2.9870639475654928	0.510617463634007
37.5	1.8571428571428572	0.2	0.8	2.368065683780258	0.7066135581374801	2.3355090288814084	-2.970554192088806	0.30798052446669
37.5	1.	0.2	0.2	2.118569735601391	0.3564333700486144	1.565730003592711	-3.103657800963687	0.8791240560292237
37.5	1.8571428571428572	0.2	0.5	0.8081774901113783	2.1047774720127346	2.3743666212872454	-2.8725355190342436	0.43458174240209463
37.5	1.	0.2	0.2	1.847702662403788	0.3605198338862784	2.2386630855621963	-3.0042549292355436	0.927245078851984
37.5	1.	0.2	0.2	1.5676620199970863	0.6978929686682659	2.360777262342211	-2.8256773758966256	0.766746589300811
37.5	1.	0.8	0.8	0.8241293087363977	2.0526292179560546	3.1416418059803117	-2.3149724971691112	1.2785102917469169
37.5	1.	0.2	0.2	0.565299449679115	1.472832832821121	2.8708948043178126	-2.9858944276482635	1.4062845984732812
37.5	1.	0.793667130480461	0.8000133567962622	1.8281524066133197	1.0428080606801133	3.1368692809965824	-2.257761337715065	1.430947197467229
37.5	1.8571428571428572	0.2	0.5	1.0497570174650774	1.3987848675737835	3.141592788949478	-2.8410280810896134	0.2591321615588608
37.5	2.4738148017364106	0.2	0.8	0.5320608821028424	2.1000342269323373	3.085403054704076	-2.8091742058975937	0.30175485615089015
37.5	3.1633294308785294	0.2	0.8	2.611830571372854	1.7501661616026993	3.1072718744453915	-2.767566365784318	0.6004826101972011
37.5	4.	0.2188388017032146	0.7990999275185281	2.8758480842745806	0.348022778008993	3.1449095634398816	-2.876855959731869	0.3956685768125197
37.5	1.8571428571428572	0.2	0.2	2.864767811494787	2.4736684972084646	-1.1424830722186697e-10	-3.0944751799980423	0.3243496295177106
37.5	3.1633294308785294	0.2	0.2	2.626710788914279	0.9964722844952205	2.4193737022038566	-2.8175012206928556	0.41045155070781403
37.5	1.	0.5	0.5	2.6194588670186474	1.3936490437083346	3.089118980802504	-2.750442293159488	0.6174122788679948
37.5	3.1633294308785294	0.2	0.8	2.614546307454054	1.0526226194151937	1.566574048329291	-2.897962222709228	0.41206976360490455
37.5	1.8571428571428572	0.2	0.2	2.1103597094275552	2.769159260831407	0.7348366121093021	-3.0281643857176834	0.4465754126084663
37.5	3.1633294308785294	0.2	0.8	1.8504266028257579	2.0808285713336643	2.3748110905915674	-2.694893950637657	0.3537759965031906
37.5	2.4738148017364106	0.2	0.2	1.830549556800736	2.7945268574858386	3.1199479868790445	-2.8910654813621806	0.3465245465897971
37.5	1.	0.5	0.5	0.7698651194893754	2.803173440463473	1.5655230706913938	-3.009307066758133	0.6211687738686706
37.5	3.1633294308785294	0.2	0.5	1.5692193441000222	2.092804711026776	2.367034608626668	-2.845368564382318	0.3295897385760281
37.5	2.4738148017364106	0.2	0.8	1.5707963267948966	1.5707963267948966	4.35676520188948	-2.7211860817047797	0.5835270183693743
37.5	3.1633294308785294	0.2	0.5	1.5724213895166854	1.0485662626857348	2.367125743383722	-2.7737167151908304	0.37642254447685386
37.5	1.	0.5	0.5	2.3715135842360304	0.33886754160998106	1.5666000348494962	-2.760260320475092	0.5699018097535575
37.5	2.4738148017364106	0.2	0.2	1.3110449657749355	0.34703329078349815	3.1247753606929964	-2.884114306813303	0.37430762436695497
37.5	3.1633294308785294	0.2	0.8	1.2942210174251272	1.0523235066607661	2.3798640934456947	-2.555635266676982	0.1851284178896145
37.5	1.8571428571428572	0.2	0.2	1.0317770134584565	0.36798314339307536	0.7242694577898638	-3.0402314142536877	0.48645912954873805
37.5	3.1633294308785294	0.2	0.8	0.5273843076605963	2.0884804451936265	1.5676107763157794	-2.938922320817768	0.32358654897163447
37.5	1.	0.5	0.5	0.5230818698213144	1.7474626639735968	3.076760642520662	-2.6399469299626275	0.8664306524349026
37.5	3.1633294308785294	0.2	0.2	0.5148777484876945	2.145144528037091	2.4193310731941917	-3.056382372399182	0.36960359182744085
37.5	1.8571428571428572	0.2	0.2	0.2768248421940848	0.6679241559724641	5.866417922336381e-11	-3.0797800553108385	0.38064693142747275
37.5	4.	0.2	0.5	0.2546183966257242	2.790577662685386	2.793240202881958	-2.8996225360809746	0.2587938616173615
37.5	3.1633294308785294	0.2	0.8	0.5302353915611763	1.3908181201425607	3.115765130391895	-2.726970919887184	0.38537065480194577
37.5	2.4738148017364106	0.2	0.8	2.8881815407778593	2.856407509927321	2.27088932788019	-2.9157592354698254	0.31293412633372897
37.5	1.8571428571428572	0.5	0.5	2.8803730694005876	0.7101317916794336	2.350646907040364	-3.129926909183486	0.4074345708357377
