Model,Kernel,AvgRank
WhiteKernelNoKnowledge,2.945423824121632950e-01,0.6
WhiteKernelErrMinMax,2.494456248910313090e-01,0.6
WhiteKernelErrMean,2.409425121856179075e-01,0.6
MonteCarloSampling,3.047917332985179972e-01,0.6
MCMCaveraged,1.751008499874369961e-01,0.8
pointestimates,1.895743849934544145e-01,1.0
pointestimates,1.783850734103591684e-01,1.0
meanparams,1.925252346264756109e-01,1.2
WhiteKernelNoKnowledge,6.278608383868969356e-02,1.2
peakparams,1.867766015731473772e-01,1.2
MonteCarloSampling,3.011433707861523312e-01,1.2
meanparams,1.769396489870656841e-01,1.4
peakparams,1.614961142867046284e-01,1.4
WhiteKernelErrMinMax,1.273989704791473609e-01,1.4
peakparams,1.810117472417744899e-01,1.4
meanparams,1.895760282975851863e-01,1.4
WhiteKernelErrMean,1.565415672421572035e-01,1.6
WhiteKernelErrMinMax,1.140385215253254952e-01,1.6
MCMCaveraged,1.720748147657914784e-01,1.6
MCMCaveraged,1.474612707570161774e-01,1.8
WhiteKernelErrMean,1.477777864315466538e-01,1.8
MonteCarloSampling,2.731155037194710755e-01,1.8
MCMCaveraged,1.662527754536812785e-01,1.8
meanparams,1.763431360627208122e-01,2.0
WhiteKernelErrMean,1.400371527296435381e-01,2.0
peakparams,1.555757712122932956e-01,2.0
pointestimates,1.707654525251926514e-01,2.0
pointestimates,1.761961443494010071e-01,2.0
WhiteKernelNoKnowledge,5.866311176788790299e-02,2.0
WhiteKernelNoKnowledge,5.739310368430325382e-02,2.2
MonteCarloSampling,2.178501899857373525e-01,2.4
WhiteKernelErrMinMax,9.328273893237518100e-02,2.4
