Kernel,Noise Model,R2,R2 Rank,RMSE,RMSE Rank,MAE,MAE Rank,ADJUSTED_R2,ADJUSTED_R2 Rank,FOM,FOM Rank,PEARSON,PEARSON Rank,Average Rank,Final Rank
RBFMat,combined_kernel,0.9758081066882646,1,0.051856402046787764,1,0.026922005616276,1,0.9746696646500652,1,0.5950388953785467,9,0.9881674433898944,1,2.3333333333333335,1
Matern,white_no_error,0.9740863668485819,2,0.053115488156579516,2,0.030583732909350996,2,0.9728669017591036,2,0.6050535433567554,10,0.9873692120059687,2,3.3333333333333335,2
Matern,white_minmax_error,0.9716583526262067,3,0.058915272128456264,4,0.04202774308897078,6,0.9703246280439105,3,0.43326270883412327,4,0.9861495206454292,4,4.0,3
RBF,white_minmax_error,0.9716126732954178,4,0.058921469752643084,5,0.042329056753962445,7,0.970276799097555,4,0.4337395129564873,5,0.9861758053496235,3,4.666666666666667,4
RBF,white_no_error,0.971373559238365,5,0.05627542327829584,3,0.03281183377565809,3,0.970026432614288,5,0.6284158657639192,11,0.9859356772070831,5,5.333333333333333,5
RBFLaplace,combined_kernel,0.9699367658079385,6,0.06062611367170957,6,0.038846967083975885,5,0.9685220253753709,6,0.6803143584722925,12,0.9851388724953086,6,6.833333333333333,6
Laplace,white_minmax_error,0.9411857739169305,8,0.08591808065978046,8,0.06267536650796923,8,0.9384180456306682,8,0.5767657988269764,8,0.9707036194074528,8,8.0,7
Laplace,white_no_error,0.9698747646200448,7,0.06073008129595764,7,0.03870795343227855,4,0.9684571064845178,7,0.7609556923736733,18,0.9851261791131611,7,8.333333333333334,8
RBFRad,combined_kernel,0.859583983372023,9,0.13341671291933171,9,0.09827565267791498,9,0.8529761708248241,9,0.7386543989313205,17,0.9277302905056073,9,10.333333333333334,9
ExpSineSquared,white_minmax_error,0.8362282286597644,10,0.14399245324310972,11,0.10595988820066467,12,0.8285213217731652,10,0.7344196789023577,13,0.9151038771887346,11,11.166666666666666,10
ExpSineSquared,white_no_error,0.8361677992265408,11,0.14400880814983683,12,0.10604361444788775,15,0.8284580486019075,11,0.7367059487370544,16,0.9150549385917082,12,12.833333333333334,11
Matern,fixed_alpha,0.834864525888956,14,0.14360417647913643,10,0.09877374335220576,10,0.8270934447543187,14,1.3259879049823078,19,0.9158655860621513,10,12.833333333333334,12
Matern,white_mean_error,0.8289514182092184,15,0.14712834676420972,15,0.11002282513001813,17,0.8209020731837698,15,0.41310227831328933,1,0.9115361782626363,15,13.0,13
RationalQuadratic,white_no_error,0.8360190409719399,12,0.1440801511537088,13,0.10597243118738083,14,0.8283022899588547,12,0.7358401354419613,15,0.9149822708833113,13,13.166666666666666,14
RationalQuadratic,white_minmax_error,0.8360190395533472,13,0.1440801518957526,14,0.10597243077304268,13,0.8283022884735047,13,0.7358401283905812,14,0.9149822701878627,14,13.5,15
RBF,white_mean_error,0.8229458115412396,16,0.14970276494415632,16,0.1119688009457686,18,0.8146138497314157,16,0.4231767361066897,3,0.90816241805306,17,14.333333333333334,16
Laplace,white_mean_error,0.8207642375903603,17,0.15037767013526807,18,0.11356804711995257,19,0.8123296134769656,17,0.4177287274145705,2,0.9082757892578396,16,14.833333333333334,17
RationalQuadratic,white_mean_error,0.8072047460786147,19,0.15616718722448003,19,0.11573251839260564,20,0.7981320282470199,19,0.4353994450051255,6,0.9001449755003845,19,17.0,18
RBF,fixed_alpha,0.8180745081801784,18,0.15031916833285253,17,0.10554266211246333,11,0.8095133085651277,18,1.7326185134875356,21,0.9069236909202265,18,17.166666666666668,19
ExpSineSquared,white_mean_error,0.8062103226817422,20,0.15656736892091633,20,0.11616287705522028,21,0.7970908084550006,20,0.437272684531474,7,0.8996439729821171,20,18.0,20
Laplace,fixed_alpha,0.7956697928868827,21,0.15982358868018473,21,0.10892402539790011,16,0.7860542537286184,21,1.4477631500329202,20,0.8960812449687847,21,20.0,21
ExpSineSquared,fixed_alpha,0.7620973467537091,22,0.1724626611737238,22,0.12043912307011964,22,0.750901927777413,22,2.5185176700507683,23,0.879702271459251,22,22.166666666666668,22
RationalQuadratic,fixed_alpha,0.7573134313921749,23,0.1742796032041952,23,0.12044919909799794,23,0.7458928869871009,23,2.460848879609589,22,0.8774181856506198,23,22.833333333333332,23
