Kernel,Noise Model,R2,R2 Rank,RMSE,RMSE Rank,MAE,MAE Rank,Adjusted R2,Adjusted R2 Rank,FOM,FOM Rank,Pearson,Pearson Rank,Average Rank,Final Rank
RBFMat,combined_kernel,0.98,1,0.05,1,0.03,1,0.97,1,0.6,9,0.99,1,2.3333333333333335,1
Matern,white_no_error,0.97,2,0.05,2,0.03,2,0.97,2,0.61,10,0.99,2,3.3333333333333335,2
Matern,white_minmax_error,0.97,3,0.06,4,0.04,6,0.97,3,0.43,4,0.99,4,4.0,3
RBF,white_minmax_error,0.97,4,0.06,5,0.04,7,0.97,4,0.43,5,0.99,3,4.666666666666667,4
RBF,white_no_error,0.97,5,0.06,3,0.03,3,0.97,5,0.63,11,0.99,5,5.333333333333333,5
RBFLaplace,combined_kernel,0.97,6,0.06,6,0.04,5,0.97,6,0.68,12,0.99,6,6.833333333333333,6
Laplace,white_minmax_error,0.94,8,0.09,8,0.06,8,0.94,8,0.58,8,0.97,8,8.0,7
Laplace,white_no_error,0.97,7,0.06,7,0.04,4,0.97,7,0.76,18,0.99,7,8.333333333333334,8
RBFRad,combined_kernel,0.86,9,0.13,9,0.1,9,0.85,9,0.74,17,0.93,9,10.333333333333334,9
ExpSineSquared,white_minmax_error,0.84,10,0.14,11,0.11,12,0.83,10,0.73,13,0.92,11,11.166666666666666,10
ExpSineSquared,white_no_error,0.84,11,0.14,12,0.11,15,0.83,11,0.74,16,0.92,12,12.833333333333334,11
Matern,fixed_alpha,0.83,14,0.14,10,0.1,10,0.83,14,1.33,19,0.92,10,12.833333333333334,12
Matern,white_mean_error,0.83,15,0.15,15,0.11,17,0.82,15,0.41,1,0.91,15,13.0,13
RationalQuadratic,white_no_error,0.84,12,0.14,13,0.11,14,0.83,12,0.74,15,0.91,13,13.166666666666666,14
RationalQuadratic,white_minmax_error,0.84,13,0.14,14,0.11,13,0.83,13,0.74,14,0.91,14,13.5,15
RBF,white_mean_error,0.82,16,0.15,16,0.11,18,0.81,16,0.42,3,0.91,17,14.333333333333334,16
Laplace,white_mean_error,0.82,17,0.15,18,0.11,19,0.81,17,0.42,2,0.91,16,14.833333333333334,17
RationalQuadratic,white_mean_error,0.81,19,0.16,19,0.12,20,0.8,19,0.44,6,0.9,19,17.0,18
RBF,fixed_alpha,0.82,18,0.15,17,0.11,11,0.81,18,1.73,21,0.91,18,17.166666666666668,19
ExpSineSquared,white_mean_error,0.81,20,0.16,20,0.12,21,0.8,20,0.44,7,0.9,20,18.0,20
Laplace,fixed_alpha,0.8,21,0.16,21,0.11,16,0.79,21,1.45,20,0.9,21,20.0,21
ExpSineSquared,fixed_alpha,0.76,22,0.17,22,0.12,22,0.75,22,2.52,23,0.88,22,22.166666666666668,22
RationalQuadratic,fixed_alpha,0.76,23,0.17,23,0.12,23,0.75,23,2.46,22,0.88,23,22.833333333333332,23
